Date,Open,High,Low,Close,Volume
2016.10.05,1271.76,1272.49,1271.7,1272.49,1213
2016.10.05,1272.51,1272.64,1271.98,1271.98,1104
2016.10.05,1271.98,1272.61,1271.79,1272.21,713
2016.10.05,1272.2,1273.59,1272.09,1272.61,1201
2016.10.05,1272.61,1273.9,1272.45,1273.44,982
2016.10.05,1273.43,1273.61,1272.81,1273.29,841
2016.10.05,1273.28,1274.16,1273.19,1273.91,810
2016.10.05,1273.94,1274.42,1273.61,1274.24,734
2016.10.05,1274.24,1274.95,1274.15,1274.31,844
2016.10.05,1274.32,1274.36,1273.38,1273.55,1172
2016.10.05,1273.55,1274.41,1272.99,1274.31,1195
2016.10.05,1274.31,1274.68,1273.77,1274.32,1183
2016.10.05,1274.29,1275.03,1274.29,1274.83,907
2016.10.05,1274.85,1274.96,1273.92,1273.93,651
2016.10.05,1273.94,1274.26,1273.59,1273.93,935
2016.10.05,1274,1274.14,1272.91,1273.29,906
2016.10.05,1273.28,1273.28,1271.81,1272.88,1663
2016.10.05,1272.89,1273.16,1272.02,1272.21,1512
2016.10.05,1272.21,1272.83,1272.2,1272.38,1188
2016.10.05,1272.36,1272.83,1271.04,1271.06,1114
2016.10.05,1271.09,1271.88,1270.8,1271.55,2255
2016.10.05,1271.56,1271.93,1270.62,1270.82,2103
2016.10.05,1270.82,1271.67,1270.45,1271.35,1265
2016.10.05,1271.35,1272.55,1271.05,1272.35,1506
2016.10.05,1272.36,1272.86,1272.04,1272.69,1314
2016.10.05,1272.7,1272.86,1272.21,1272.28,980
2016.10.05,1272.3,1272.52,1271.37,1271.95,734
2016.10.05,1271.95,1272.37,1271.8,1271.95,620
2016.10.05,1271.88,1272.42,1271.73,1272.04,1053
